Year,Value_GDP,Value_CO2,GDP_Index,CO2_Index,GDP_pct_change,CO2_pct_change,Tapio_Elasticity,Decoupling_State
2009,187739.065,185.32,100.0,100.0,,,,Base Year
2010,201444.02000000002,201.95499999999998,107.3000017337894,108.97636520612994,7.300001733789396,8.976365206129945,1.2296387772870234,Expansive Negative Decoupling
2011,216350.865,220.02,115.24019521456547,118.72436865961582,7.3999938047304425,8.94506201876657,1.208793176698127,Expansive Negative Decoupling
2012,226735.72,216.835,120.77173176504314,117.00571983595943,4.800006230619891,-1.4475956731206274,-0.30158204043282655,Strong Decoupling
2013,240339.865,229.95,128.01803662972327,124.08266781782862,6.000000793875793,6.048377798787086,1.0080628330850676,Expansive Coupling
2014,250434.135,188.725,133.394791861779,101.83736240017267,4.1999981983846135,-17.927810393563814,-4.2685281151927965,Strong Decoupling
2015,253439.34,167.565,134.99552690325797,90.41927476796891,1.1999981552035521,-11.21208107034044,-9.343415255866429,Strong Decoupling
2016,256227.18,182.88,136.48048156626325,98.68335851500109,1.1000028645907989,9.139736818548027,8.308830015590923,Expansive Negative Decoupling
2017,266732.51,192.35,142.07618963053855,103.79343837686163,4.100006096152642,5.178258967629046,1.2629881142099308,Expansive Negative Decoupling
2018,277668.52,196.75,147.9013012022831,106.16770990718759,4.0999914108707625,2.287496750714846,0.5579272055667609,Weak Decoupling
2019,290163.60000000003,187.465,154.55685794536157,101.1574573710339,4.499998775518388,-4.719186785260476,-1.048708459863267,Strong Decoupling
2020,282909.53,193.025,150.69294714981137,104.15767321390028,-2.4999931073366954,2.9658869655668996,-1.1863580570934182,Strong Negative Decoupling
2021,295074.605,209.005,157.1727253462139,112.78059572631125,4.299987702782571,8.278720373008674,1.9252893136534834,Expansive Negative Decoupling
2022,304517.04500000004,213.03500000000003,162.20228059620945,114.95521260522341,3.200017839556213,1.92818353627906,0.6025539959322432,Weak Decoupling
2023,320047.36500000005,224.555,170.47457064942773,121.17148715734946,5.099983812071995,5.407562137676902,1.0603096670379324,Expansive Coupling
2024,296651.59500000003,223.45,158.01271568067094,120.57522123893804,-7.310096116554499,-0.49208434459264705,0.06731571469741268,Weak Negative Decoupling
